,price,host_acceptance_rate,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_total_listings_count,accommodates,bathrooms,beds,review_scores_rating,room_type,neighbourhood,rating_range
55,920.25,0.75,0.5,f,t,t,t,12,8,2.0,4.0,4.0,Entire home/apt,Islands,"[3,4]"
56,180.0,0.32,1.0,f,t,t,f,503,1,,,,Private room,Eastern,
57,741.0,1.0,1.0,f,t,t,t,9,2,1.0,1.0,4.6,Entire home/apt,Central & Western,"[4,5]"
58,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
59,180.0,0.32,1.0,f,t,t,f,503,1,,1.0,,Private room,Yau Tsim Mong,
62,1036.0,1.0,1.0,t,t,t,t,5,2,1.0,1.0,4.58,Entire home/apt,Central & Western,"[4,5]"
63,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,2.0,Private room,Central & Western,"[1,2]"
64,424.0,1.0,0.9,f,t,t,t,14,2,1.0,2.0,4.54,Private room,Yau Tsim Mong,"[4,5]"
65,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,3.5,Private room,Central & Western,"[3,4]"
66,180.0,0.32,1.0,f,t,t,f,503,1,,1.0,,Private room,Central & Western,
67,217.0,0.32,1.0,f,t,t,f,503,2,1.0,2.0,,Private room,Sham Shui Po,
68,180.0,0.32,1.0,f,t,t,f,503,1,,1.0,,Private room,Sham Shui Po,
69,160.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Yau Tsim Mong,
70,180.0,0.32,1.0,f,t,t,f,503,1,,1.0,2.0,Private room,Central & Western,"[1,2]"
71,800.0,0.6,1.0,f,t,t,f,4,4,1.0,1.0,4.47,Entire home/apt,Southern,"[4,5]"
72,620.0,0.32,1.0,f,t,t,f,503,1,1.0,2.0,,Private room,Yau Tsim Mong,
73,564.0,0.0,,f,t,f,f,4,3,1.0,2.0,4.11,Entire home/apt,Wan Chai,"[4,5]"
74,750.0,0.0,,f,t,f,f,3,1,1.0,1.0,4.0,Private room,Central & Western,"[3,4]"
75,1250.0,0.99,1.0,t,t,t,f,2,2,1.0,1.0,4.91,Entire home/apt,Central & Western,"[4,5]"
76,800.0,,,f,t,t,f,1,2,1.0,1.0,5.0,Entire home/apt,Central & Western,"[4,5]"
77,920.25,,1.0,f,f,f,f,4,6,2.0,3.0,,Entire home/apt,Eastern,
81,1073.0,1.0,1.0,t,t,t,t,12,2,1.0,1.0,4.72,Entire home/apt,Wan Chai,"[4,5]"
82,850.0,0.67,1.0,f,t,t,f,2,4,1.5,3.0,4.0,Private room,Yuen Long,"[3,4]"
83,350.0,0.8,1.0,f,t,t,f,8,1,1.0,1.0,4.8,Private room,North,"[4,5]"
85,230.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,4.5,Private room,Central & Western,"[4,5]"
86,1154.0,,1.0,f,t,t,t,8,3,1.0,2.0,,Entire home/apt,Central & Western,
87,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,2.0,Private room,Eastern,"[1,2]"
88,647.0,0.6,1.0,f,t,t,f,6,3,1.0,2.0,4.52,Entire home/apt,Central & Western,"[4,5]"
